name,round1,round2,round3,round4,total
Jhonattan Vegas,-7,0,0,0,-7
Sam Burns,-7,0,0,0,-7
Adam Hadwin,-7,0,0,0,-7
David Lipsky,-7,0,0,0,-7
Danny Lee,-6,0,0,0,-6
Scott Stallings,-6,0,0,0,-6
Richy Werenski,-6,0,0,0,-6
Kramer Hickok,-5,0,0,0,-5
Doc Redman,-5,0,0,0,-5
Justin Thomas,-5,0,0,0,-5
Davis Riley,-5,0,0,0,-5
Matthew NeSmith,-4,0,0,0,-4
Brice Garnett,-4,0,0,0,-4
Stewart Cink,-4,0,0,0,-4
Dustin Johnson,-4,0,0,0,-4
Brooks Koepka,-4,0,0,0,-4
Louis Oosthuizen,-4,0,0,0,-4
Matt Kuchar,-4,0,0,0,-4
Chez Reavie,-4,0,0,0,-4
Matthew Fitzpatrick,-4,0,0,0,-4
J.J. Spaun,-4,0,0,0,-4
Kevin Streelman,-4,0,0,0,-4
Blake Kennedy,-4,0,0,0,-4
Greyson Sigg,-4,0,0,0,-4
Pat Perez,-4,0,0,0,-4
William McGirt,-4,0,0,0,-4
Xander Schauffele,-4,0,0,0,-4
Webb Simpson,-4,0,0,0,-4
Gary Woodland,-4,0,0,0,-4
Tommy Fleetwood,-4,0,0,0,-4
Brian Harman,-4,0,0,0,-4
Sahith Theegala,-4,0,0,0,-4
Cameron Tringale,-3,0,0,0,-3
Bubba Watson,-3,0,0,0,-3
Collin Morikawa,-3,0,0,0,-3
Wesley Bryan,-3,0,0,0,-3
Jimmy Walker,-3,0,0,0,-3
Luke Donald,-3,0,0,0,-3
Alex Noren,-3,0,0,0,-3
Austin Smotherman,-3,0,0,0,-3
Troy Merritt,-3,0,0,0,-3
Henrik Norlander,-3,0,0,0,-3
Brian Stuard,-3,0,0,0,-3
Wyndham Clark,-3,0,0,0,-3
Joel Dahmen,-3,0,0,0,-3
Andrew Landry,-3,0,0,0,-3
Tyrrell Hatton,-3,0,0,0,-3
Robert Streb,-3,0,0,0,-3
Paul Barjon,-3,0,0,0,-3
Kelly Kraft,-2,0,0,0,-2
Denny McCarthy,-2,0,0,0,-2
Sam Ryder,-2,0,0,0,-2
Jim Herman,-2,0,0,0,-2
Viktor Hovland,-2,0,0,0,-2
Tyler Duncan,-2,0,0,0,-2
Patton Kizzire,-2,0,0,0,-2
J.T. Poston,-2,0,0,0,-2
Kiradech Aphibarnrat,-2,0,0,0,-2
Aaron Wise,-2,0,0,0,-2
Martin Kaymer,-2,0,0,0,-2
Mito Pereira,-2,0,0,0,-2
Shane Lowry,-2,0,0,0,-2
Nick Taylor,-2,0,0,0,-2
Lee Hodges,-2,0,0,0,-2
Matt Wallace,-2,0,0,0,-2
Bernd Wiesberger,-2,0,0,0,-2
Joseph Bramlett,-2,0,0,0,-2
Hank Lebioda,-1,0,0,0,-1
Seung-yul Noh,-1,0,0,0,-1
Jason Day,-1,0,0,0,-1
Abraham Ancer,-1,0,0,0,-1
Brendon Todd,-1,0,0,0,-1
Danny Willett,-1,0,0,0,-1
Keegan Bradley,-1,0,0,0,-1
Christiaan Bezuidenhout,-1,0,0,0,-1
Alex Smalley,-1,0,0,0,-1
Dylan Wu,-1,0,0,0,-1
Tommy Gainey,-1,0,0,0,-1
James Hahn,-1,0,0,0,-1
Mark Hensby,-1,0,0,0,-1
Kevin Kisner,-1,0,0,0,-1
Henrik Stenson,-1,0,0,0,-1
Adam Long,-1,0,0,0,-1
Brandon Hagy,-1,0,0,0,-1
Harry Higgs,-1,0,0,0,-1
